Date,Adj Close
2004-01-02,30.9716301
2004-01-05,31.5934391
2004-01-06,31.80640221
2004-01-07,32.09600449
2004-01-08,32.35155487
2004-01-09,32.13859177
2004-01-12,32.64968109
2004-01-13,32.32599258
2004-01-14,32.43673325
2004-01-15,32.52190018
2004-01-16,32.8541069
2004-01-20,32.82855606
2004-01-21,32.692276
2004-01-22,32.49637222
2004-01-23,32.3771019
2004-01-26,32.87115479
2004-01-27,32.14713287
2004-01-28,31.60194778
2004-01-29,31.7212162
2004-01-30,31.57641792
2004-02-02,31.49122238
2004-02-03,31.45714378
2004-02-04,30.94607925
2004-02-05,31.06532669
2004-02-06,31.62750244
2004-02-09,31.61900902
2004-02-10,31.67010117
2004-02-11,32.01081467
2004-02-12,31.72973824
2004-02-13,31.46567345
2004-02-17,31.89156723
2004-02-18,31.98527145
2004-02-19,31.49976158
2004-02-20,31.39753151
2004-02-23,31.04828644
2004-02-24,30.9716301
2004-02-25,31.15902328
2004-02-26,31.23568916
2004-02-27,31.15050125
2004-03-01,31.5593586
2004-03-02,31.19310188
2004-03-03,31.02274132
2004-03-04,31.3123455
2004-03-05,31.20159912
2004-03-08,30.46905708
2004-03-09,30.37536812
2004-03-10,29.97501373
2004-03-11,29.70243645
2004-03-12,30.24760246
2004-03-15,29.71947098
2004-03-16,29.77059937
2004-03-17,30.23909378
2004-03-18,30.10279465
2004-03-19,29.60021973
2004-03-22,29.22542763
2004-03-23,28.98690605
2004-03-24,29.31912422
2004-03-25,30.10279465
2004-03-26,30.00058556
2004-03-29,30.48610687
2004-03-30,30.58831215
2004-03-31,30.52869034
2004-04-01,30.80126762
2004-04-02,31.60194778
2004-04-05,31.90011597
2004-04-06,31.49976158
2004-04-07,31.46567345
2004-04-08,31.46567345
2004-04-12,31.66159248
2004-04-13,31.20159912
2004-04-14,31.35494995
2004-04-15,30.79274368
2004-04-16,30.74163437
2004-04-19,31.1164341
2004-04-20,30.3923912
2004-04-21,30.65645409
2004-04-22,31.44863319
2004-04-23,31.69565964
2004-04-26,31.46567345
2004-04-27,31.40605164
2004-04-28,30.83533096
2004-04-29,30.35832787
2004-04-30,29.61725426
2004-05-03,29.89834595
2004-05-04,30.02613449
2004-05-05,30.26462746
2004-05-06,30.03464699
2004-05-07,29.78761673
2004-05-10,29.5320797
2004-05-11,29.97501373
2004-05-12,30.03464699
2004-05-13,29.82168579
2004-05-14,29.60021973
2004-05-17,29.31912422
2004-05-18,29.5831852
2004-05-19,29.54911232
2004-05-20,29.68540001
2004-05-21,29.83020782
2004-05-24,30.03464699
2004-05-25,30.63090706
2004-05-26,30.82681465
2004-05-27,31.02274132
2004-05-28,31.13345718
2004-06-01,31.09088135
2004-06-02,31.02274132
2004-06-03,30.64792824
2004-06-04,30.82681465
2004-06-07,31.5593586
2004-06-08,31.60194778
2004-06-09,31.15902328
2004-06-10,31.38048935
2004-06-14,30.93754959
2004-06-15,31.33789635
2004-06-16,31.28679657
2004-06-17,30.99718475
2004-06-18,31.03976059
2004-06-21,30.79274368
2004-06-22,31.24419403
2004-06-23,31.61900902
2004-06-24,31.5593586
2004-06-25,31.79786491
2004-06-28,31.53381348
2004-06-29,31.83196259
2004-06-30,32.14713287
2004-07-01,31.55084801
2004-07-02,31.3634758
2004-07-06,30.69052696
2004-07-07,30.75015068
2004-07-08,30.40943146
2004-07-09,30.45202255
2004-07-12,30.32425117
2004-07-13,30.28166389
2004-07-14,29.97501373
2004-07-15,29.87278938
2004-07-16,29.5320797
2004-07-19,29.47245026
2004-07-20,30.17944908
2004-07-21,29.30210304
2004-07-22,29.70243645
2004-07-23,29.14024544
2004-07-26,29.01247597
2004-07-27,29.41282272
2004-07-28,29.2850399
2004-07-29,29.62576866
2004-07-30,29.71947098
2004-08-02,29.77910042
2004-08-03,29.15727425
2004-08-04,29.165802
2004-08-05,28.62063599
2004-08-06,27.8710556
2004-08-09,27.93919563
2004-08-10,28.2884388
2004-08-11,28.04140854
2004-08-12,27.65810585
2004-08-13,27.70069504
2004-08-16,28.01586914
2004-08-17,28.33102036
2004-08-18,28.83360481
2004-08-19,28.68026352
2004-08-20,28.96988106
2004-08-23,29.03801918
2004-08-24,29.02952385
2004-08-25,29.42986298
2004-08-26,29.30210304
2004-08-27,29.43837166
2004-08-30,28.94433594
2004-08-31,28.97840309
2004-09-01,29.19135857
2004-09-02,29.62576866
2004-09-03,29.08061218
2004-09-07,29.32764053
2004-09-08,29.21690941
2004-09-09,29.46393013
2004-09-10,29.91539955
2004-09-13,30.30723
2004-09-14,30.34980583
2004-09-15,30.02613449
2004-09-16,30.08574104
2004-09-17,30.17944908
2004-09-20,30.17944908
2004-09-21,30.2986927
2004-09-22,29.77059937
2004-09-23,29.74502945
2004-09-24,29.64280701
2004-09-27,29.38726807
2004-09-28,29.44689369
2004-09-29,29.88131714
2004-09-30,29.93242073
2004-10-01,30.75015068
2004-10-04,30.92902565
2004-10-05,30.9716301
2004-10-06,31.2186451
2004-10-07,30.86940575
2004-10-08,30.30723
2004-10-11,30.45202255
2004-10-12,30.40090179
2004-10-13,30.33277512
2004-10-14,30.1964817
2004-10-15,30.34980583
2004-10-18,30.78422546
2004-10-19,30.56277466
2004-10-20,30.70756721
2004-10-21,31.17605972
2004-10-22,30.49461937
2004-10-25,30.34980583
2004-10-26,30.51163673
2004-10-27,31.28679657
2004-10-28,31.48271561
2004-10-29,31.43159676
2004-11-01,31.55084801
