Date,pred,close
2024-01-02,409.9020385742188,401.4203186035156
2024-01-03,406.5648193359375,397.1726989746094
2024-01-04,394.6224670410156,395.128662109375
2024-01-05,392.980712890625,395.5972900390625
2024-01-08,392.3566589355469,403.77349853515625
2024-01-09,396.066162109375,404.5711364746094
2024-01-10,412.12493896484375,407.3131713867188
2024-01-11,405.3704223632813,408.1607055664063
2024-01-12,410.0719299316406,408.3700866699219
2024-01-16,409.0070495605469,408.3302001953125
2024-01-17,408.5797729492188,406.0268859863281
2024-01-18,408.2907409667969,411.7901306152344
2024-01-19,403.7291870117188,419.9563293457031
2024-01-22,417.6314086914063,420.5047302246094
2024-01-23,428.2759399414063,422.2496337890625
2024-01-24,421.018798828125,424.5928039550781
2024-01-25,424.0014953613281,425.1112976074219
2024-01-26,426.9233093261719,422.5786743164063
2024-01-29,425.6311340332031,426.9060668945313
2024-01-30,420.0608215332031,424.0643310546875
2024-01-31,431.276123046875,415.7585754394531
2024-02-01,421.2183227539063,420.654296875
2024-02-02,407.6149291992188,427.7635803222656
2024-02-05,425.7001647949219,427.2052307128906
2024-02-06,435.2219848632813,426.3476867675781
2024-02-07,426.6373596191406,430.7349243164063
2024-02-08,425.4927368164063,431.5325927734375
2024-02-09,435.17132568359375,435.7801818847656
2024-02-12,432.3320007324219,434.0751647949219
2024-02-13,440.5328674316406,427.3048706054688
2024-02-14,432.3773498535156,431.96136474609375
2024-02-15,420.64068603515625,433.2475891113281
2024-02-16,436.6685791015625,429.3190307617188
2024-02-20,434.6362915039063,426.0784912109375
2024-02-21,425.55218505859375,424.3734130859375
2024-02-22,422.6188354492188,436.7972412109375
2024-02-23,422.67523193359375,435.510986328125
2024-02-26,449.5633544921875,435.2816467285156
2024-02-27,434.3775329589844,436.32861328125
2024-02-28,435.0520324707031,434.00537109375
2024-02-29,437.3783264160156,437.72454833984375
2024-03-01,431.69439697265625,444.3153076171875
2024-03-04,441.0320129394531,442.7299499511719
2024-03-05,451.6602783203125,434.7830810546875
2024-03-06,441.1485595703125,437.5151672363281
2024-03-07,426.98193359375,444.1558227539063
2024-03-08,440.2640380859375,437.7444763183594
2024-03-11,450.89849853515625,436.1192626953125
2024-03-12,431.4585876464844,442.37103271484375
2024-03-13,434.4955749511719,438.9709167480469
2024-03-14,448.70416259765625,437.8641662597656
2024-03-15,435.5988464355469,432.6593017578125
2024-03-18,436.7608337402344,436.7857666015625
2024-03-19,427.5297546386719,437.8740234375
2024-03-20,441.08837890625,443.0657653808594
2024-03-21,438.9028625488281,445.1624450683594
2024-03-22,448.3088989257813,445.671630859375
2024-03-25,447.2677917480469,444.05419921875
2024-03-26,446.1808166503906,442.6164855957031
2024-03-27,442.4401550292969,444.12408447265625
2024-03-28,441.1835021972656,443.3053894042969
2024-04-01,445.7076416015625,444.2439270019531
2024-04-02,442.4886779785156,440.4099731445313
2024-04-03,445.18365478515625,441.3984375
2024-04-04,436.5638732910156,434.6491394042969
2024-04-05,442.3888549804688,439.7710266113281
2024-04-08,427.9980773925781,439.90081787109375
2024-04-09,444.73724365234375,441.5282287597656
2024-04-10,440.0275268554688,437.6743469238281
2024-04-11,443.1605224609375,444.6632385253906
2024-04-12,433.8548583984375,437.5744934082031
2024-04-15,451.7502746582031,430.3759460449219
2024-04-16,430.5974426269531,430.4158935546875
2024-04-17,423.0857849121094,425.1642150878906
2024-04-18,430.3445129394531,422.7380981445313
2024-04-19,419.9740905761719,413.9919738769531
2024-04-22,420.3253173828125,418.1553649902344
2024-04-23,405.4533386230469,424.39544677734375
2024-04-24,422.3577270507813,425.8331604003906
2024-04-25,430.7789916992188,423.7764587402344
2024-04-26,427.2774658203125,430.3160400390625
